,SSIM,PSNR,MSE,RMSE,Correlation,Cosine_Similarity,EMD,Edge_SSIM,GMSD
label0,0.0028909425472656877,3.9884935794820784,0.40079251686164113,0.6324388407883508,0.9415331101269504,0.9863938760826393,150.91403772639134,0.003285436782729314,0.25791854325724745
label1,0.002934979304650903,3.9882395711258254,0.40081543928546676,0.632457130905696,0.9350739796320162,0.9880453426193557,150.93192585035302,0.003280466898021896,0.2578995328011184
label2,0.002797148208629826,3.9871380593454773,0.4009169829813001,0.6325372909495416,0.9527826028366623,0.9896035896407868,150.9596929879024,0.003280979116947935,0.25790147093692045
label3,0.0027897366231793173,3.986843186315618,0.4009440824161604,0.6325587165425359,0.953271134594028,0.9892563893529751,150.9705652697333,0.003281638931962895,0.2579051310560484
label4,0.002586474264150361,3.9854581662575757,0.40107201447326607,0.6326596076904589,0.9518073550765325,0.9898395940082579,150.98740878050353,0.003282032995195629,0.25792944808115903
